concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
38003563,"Hispanic or Latino",Ethnicity,Ethnicity,Ethnicity,S,Hispanic,1970-01-01,2099-12-31,
38003564,"Not Hispanic or Latino",Ethnicity,Ethnicity,Ethnicity,S,"Not Hispanic",1970-01-01,2099-12-31,
